(((0,0),(10,1)),('F',70))
(((12443,-241),(-34,7)),('E',3))
(((12443,-241),(-31,7)),('L',180))
(((12443,-241),(-31,7)),('S',1))
(((12443,-241),(-31,6)),('S',5))
(((12443,-241),(-31,1)),('R',180))
(((12443,-241),(-31,1)),('W',5))
(((12443,-241),(-36,1)),('W',5))
(((12443,-241),(-41,1)),('F',60))
(((9983,-181),(-41,1)),('S',5))
(((9983,-181),(-41,-4)),('W',5))
(((9983,-181),(-46,-4)),('L',270))
(((9983,-181),(46,-4)),('N',3))
(((9983,-181),(46,-1)),('R',90))
(((9983,-181),(46,1)),('F',65))
(((12973,-116),(46,1)),('S',5))
(((12973,-116),(46,-4)),('F',53))
(((15411,-328),(46,-4)),('W',5))
(((15411,-328),(41,-4)),('L',90))
(((15411,-328),(-41,-4)),('N',1))
(((15411,-328),(-41,-3)),('W',5))
(((15411,-328),(-46,-3)),('L',180))
(((15411,-328),(-46,-3)),('F',87))
(((11409,-589),(-46,-3)),('W',2))
(((11409,-589),(-48,-3)),('R',180))
(((11409,-589),(-48,-3)),('S',2))
(((11409,-589),(-48,-5)),('F',77))
(((7713,-974),(-48,-5)),('N',1))
(((7713,-974),(-48,-4)),('F',81))
(((3825,-1298),(-48,-4)),('L',180))
(((3825,-1298),(-48,-4)),('E',5))
(((3825,-1298),(-43,-4)),('N',5))
(((3825,-1298),(-43,1)),('W',4))
(((3825,-1298),(-47,1)),('L',90))
(((3825,-1298),(47,1)),('W',4))
(((3825,-1298),(43,1)),('L',90))
(((3825,-1298),(-43,1)),('E',3))
(((3825,-1298),(-40,1)),('N',2))
(((3825,-1298),(-40,3)),('L',90))
(((3825,-1298),(40,3)),('W',2))
(((3825,-1298),(38,3)),('S',1))
(((3825,-1298),(38,2)),('F',19))
(((4547,-1260),(38,2)),('W',1))
(((4547,-1260),(37,2)),('F',82))
(((7581,-1096),(37,2)),('N',4))
(((7581,-1096),(37,6)),('R',270))
(((7581,-1096),(37,-6)),('E',5))
(((7581,-1096),(42,-6)),('L',90))
(((7581,-1096),(-42,-6)),('N',3))
(((7581,-1096),(-42,-3)),('R',90))
(((7581,-1096),(-42,3)),('F',81))
(((4179,-853),(-42,3)),('L',270))
(((4179,-853),(42,3)),('W',3))
(((4179,-853),(39,3)),('R',90))
(((4179,-853),(39,-3)),('L',270))
(((4179,-853),(-39,-3)),('N',3))
(((4179,-853),(-39,0)),('F',53))
(((2112,-853),(-39,0)),('E',2))
(((2112,-853),(-37,0)),('F',84))
(((-996,-853),(-37,0)),('R',90))
(((-996,-853),(-37,0)),('S',2))
(((-996,-853),(-37,-2)),('F',39))
(((-2439,-931),(-37,-2)),('R',180))
(((-2439,-931),(-37,-2)),('N',1))
(((-2439,-931),(-37,-1)),('L',90))
(((-2439,-931),(37,-1)),('F',11))
(((-2032,-942),(37,-1)),('S',2))
(((-2032,-942),(37,-3)),('W',5))
(((-2032,-942),(32,-3)),('F',20))
(((-1392,-1002),(32,-3)),('W',1))
(((-1392,-1002),(31,-3)),('N',4))
(((-1392,-1002),(31,1)),('R',90))
(((-1392,-1002),(31,-1)),('F',76))
(((964,-1078),(31,-1)),('E',3))
(((964,-1078),(34,-1)),('S',5))
(((964,-1078),(34,-6)),('E',3))
(((964,-1078),(37,-6)),('S',5))
(((964,-1078),(37,-11)),('W',5))
(((964,-1078),(32,-11)),('S',2))
(((964,-1078),(32,-13)),('L',90))
(((964,-1078),(-32,-13)),('N',3))
(((964,-1078),(-32,-10)),('E',3))
(((964,-1078),(-29,-10)),('S',5))
(((964,-1078),(-29,-15)),('F',27))
(((181,-1483),(-29,-15)),('W',1))
(((181,-1483),(-30,-15)),('L',90))
(((181,-1483),(30,-15)),('F',65))
(((2131,-2458),(30,-15)),('W',3))
(((2131,-2458),(27,-15)),('R',180))
(((2131,-2458),(27,-15)),('F',84))
(((4399,-3718),(27,-15)),('W',2))
(((4399,-3718),(25,-15)),('N',5))
(((4399,-3718),(25,-10)),('F',43))
(((5474,-4148),(25,-10)),('L',180))
(((5474,-4148),(25,-10)),('W',3))
(((5474,-4148),(22,-10)),('F',11))
(((5716,-4258),(22,-10)),('W',2))
(((5716,-4258),(20,-10)),('R',90))
(((5716,-4258),(20,10)),('N',1))
(((5716,-4258),(20,11)),('R',90))
(((5716,-4258),(20,-11)),('N',5))
(((5716,-4258),(20,-6)),('W',1))
(((5716,-4258),(19,-6)),('S',4))
(((5716,-4258),(19,-10)),('N',4))
(((5716,-4258),(19,-6)),('F',88))
(((7388,-4786),(19,-6)),('N',3))
(((7388,-4786),(19,-3)),('F',87))
(((9041,-5047),(19,-3)),('W',3))
(((9041,-5047),(16,-3)),('L',90))
(((9041,-5047),(-16,-3)),('F',77))
(((7809,-5278),(-16,-3)),('S',5))
(((7809,-5278),(-16,-8)),('F',18))
(((7521,-5422),(-16,-8)),('N',4))
(((7521,-5422),(-16,-4)),('F',97))
(((5969,-5810),(-16,-4)),('E',5))
(((5969,-5810),(-11,-4)),('S',5))
(((5969,-5810),(-11,-9)),('R',90))
(((5969,-5810),(-11,9)),('F',94))
(((4935,-4964),(-11,9)),('N',5))
(((4935,-4964),(-11,14)),('L',180))
(((4935,-4964),(-11,14)),('F',8))
(((4847,-4852),(-11,14)),('N',4))
(((4847,-4852),(-11,18)),('R',90))
(((4847,-4852),(-11,-18)),('W',2))
(((4847,-4852),(-13,-18)),('N',2))
(((4847,-4852),(-13,-16)),('L',180))
(((4847,-4852),(-13,-16)),('F',4))
(((4795,-4916),(-13,-16)),('R',90))
(((4795,-4916),(-13,16)),('W',4))
(((4795,-4916),(-17,16)),('S',3))
(((4795,-4916),(-17,13)),('R',90))
(((4795,-4916),(-17,-13)),('F',38))
(((4149,-5410),(-17,-13)),('S',3))
(((4149,-5410),(-17,-16)),('E',1))
(((4149,-5410),(-16,-16)),('N',5))
(((4149,-5410),(-16,-11)),('F',4))
(((4085,-5454),(-16,-11)),('E',3))
(((4085,-5454),(-13,-11)),('R',90))
(((4085,-5454),(-13,11)),('S',4))
(((4085,-5454),(-13,7)),('F',95))
(((2850,-4789),(-13,7)),('E',5))
(((2850,-4789),(-8,7)),('F',77))
(((2234,-4250),(-8,7)),('F',32))
(((1978,-4026),(-8,7)),('W',5))
(((1978,-4026),(-13,7)),('F',3))
(((1939,-4005),(-13,7)),('R',90))
(((1939,-4005),(-13,-7)),('N',1))
(((1939,-4005),(-13,-6)),('W',3))
(((1939,-4005),(-16,-6)),('F',96))
(((403,-4581),(-16,-6)),('L',270))
(((403,-4581),(16,-6)),('N',2))
(((403,-4581),(16,-4)),('E',2))
(((403,-4581),(18,-4)),('F',30))
(((943,-4701),(18,-4)),('S',3))
(((943,-4701),(18,-7)),('W',2))
(((943,-4701),(16,-7)),('R',90))
(((943,-4701),(16,7)),('F',57))
(((1855,-4302),(16,7)),('R',90))
(((1855,-4302),(16,-7)),('E',1))
(((1855,-4302),(17,-7)),('R',90))
(((1855,-4302),(17,7)),('N',5))
(((1855,-4302),(17,12)),('E',1))
(((1855,-4302),(18,12)),('N',4))
(((1855,-4302),(18,16)),('W',4))
(((1855,-4302),(14,16)),('N',1))
(((1855,-4302),(14,17)),('W',2))
(((1855,-4302),(12,17)),('F',47))
(((2419,-3503),(12,17)),('N',5))
(((2419,-3503),(12,22)),('W',3))
(((2419,-3503),(9,22)),('L',90))
(((2419,-3503),(-9,22)),('N',4))
(((2419,-3503),(-9,26)),('F',50))
(((1969,-2203),(-9,26)),('E',3))
(((1969,-2203),(-6,26)),('R',90))
(((1969,-2203),(-6,-26)),('F',27))
(((1807,-2905),(-6,-26)),('N',3))
(((1807,-2905),(-6,-23)),('F',78))
(((1339,-4699),(-6,-23)),('N',2))
(((1339,-4699),(-6,-21)),('R',90))
(((1339,-4699),(-6,21)),('F',100))
(((739,-2599),(-6,21)),('S',3))
(((739,-2599),(-6,18)),('F',67))
(((337,-1393),(-6,18)),('R',90))
(((337,-1393),(-6,-18)),('N',4))
(((337,-1393),(-6,-14)),('R',90))
(((337,-1393),(-6,14)),('N',4))
(((337,-1393),(-6,18)),('F',88))
(((-191,191),(-6,18)),('S',4))
(((-191,191),(-6,14)),('E',2))
(((-191,191),(-4,14)),('S',2))
(((-191,191),(-4,12)),('F',31))
(((-315,563),(-4,12)),('S',5))
(((-315,563),(-4,7)),('R',90))
(((-315,563),(-4,-7)),('W',3))
(((-315,563),(-7,-7)),('R',180))
(((-315,563),(-7,-7)),('W',2))
(((-315,563),(-9,-7)),('F',97))
(((-1188,-116),(-9,-7)),('F',31))
(((-1467,-333),(-9,-7)),('N',1))
(((-1467,-333),(-9,-6)),('L',90))
(((-1467,-333),(9,-6)),('S',4))
(((-1467,-333),(9,-10)),('F',50))
(((-1017,-833),(9,-10)),('N',3))
(((-1017,-833),(9,-7)),('W',2))
(((-1017,-833),(7,-7)),('L',180))
(((-1017,-833),(7,-7)),('F',85))
(((-422,-1428),(7,-7)),('L',180))
(((-422,-1428),(7,-7)),('E',3))
(((-422,-1428),(10,-7)),('L',90))
(((-422,-1428),(-10,-7)),('F',95))
(((-1372,-2093),(-10,-7)),('N',4))
(((-1372,-2093),(-10,-3)),('L',90))
(((-1372,-2093),(10,-3)),('E',1))
(((-1372,-2093),(11,-3)),('S',2))
(((-1372,-2093),(11,-5)),('R',180))
(((-1372,-2093),(11,-5)),('N',2))
(((-1372,-2093),(11,-3)),('F',19))
(((-1163,-2150),(11,-3)),('N',5))
(((-1163,-2150),(11,2)),('E',5))
(((-1163,-2150),(16,2)),('S',1))
(((-1163,-2150),(16,1)),('W',5))
(((-1163,-2150),(11,1)),('R',90))
(((-1163,-2150),(11,-1)),('N',1))
(((-1163,-2150),(11,0)),('L',180))
(((-1163,-2150),(11,0)),('F',76))
(((-327,-2150),(11,0)),('S',4))
(((-327,-2150),(11,-4)),('E',5))
(((-327,-2150),(16,-4)),('S',2))
(((-327,-2150),(16,-6)),('S',5))
(((-327,-2150),(16,-11)),('E',3))
(((-327,-2150),(19,-11)),('F',53))
(((680,-2733),(19,-11)),('L',90))
(((680,-2733),(-19,-11)),('S',3))
(((680,-2733),(-19,-14)),('E',4))
(((680,-2733),(-15,-14)),('S',1))
(((680,-2733),(-15,-15)),('E',1))
(((680,-2733),(-14,-15)),('L',90))
(((680,-2733),(14,-15)),('F',54))
(((1436,-3543),(14,-15)),('W',1))
(((1436,-3543),(13,-15)),('S',1))
(((1436,-3543),(13,-16)),('E',2))
(((1436,-3543),(15,-16)),('N',1))
(((1436,-3543),(15,-15)),('R',90))
(((1436,-3543),(15,15)),('S',3))
(((1436,-3543),(15,12)),('R',90))
(((1436,-3543),(15,-12)),('F',63))
(((2381,-4299),(15,-12)),('L',90))
(((2381,-4299),(-15,-12)),('W',4))
(((2381,-4299),(-19,-12)),('L',90))
(((2381,-4299),(19,-12)),('F',47))
(((3274,-4863),(19,-12)),('L',90))
(((3274,-4863),(-19,-12)),('E',5))
(((3274,-4863),(-14,-12)),('F',23))
(((2952,-5139),(-14,-12)),('W',2))
(((2952,-5139),(-16,-12)),('F',97))
(((1400,-6303),(-16,-12)),('E',3))
(((1400,-6303),(-13,-12)),('L',90))
(((1400,-6303),(13,-12)),('N',4))
(((1400,-6303),(13,-8)),('F',54))
(((2102,-6735),(13,-8)),('W',3))
(((2102,-6735),(10,-8)),('S',4))
(((2102,-6735),(10,-12)),('W',3))
(((2102,-6735),(7,-12)),('S',2))
(((2102,-6735),(7,-14)),('F',67))
(((2571,-7673),(7,-14)),('W',1))
(((2571,-7673),(6,-14)),('S',4))
(((2571,-7673),(6,-18)),('R',90))
(((2571,-7673),(6,18)),('S',5))
(((2571,-7673),(6,13)),('R',90))
(((2571,-7673),(6,-13)),('W',4))
(((2571,-7673),(2,-13)),('L',180))
(((2571,-7673),(2,-13)),('L',90))
(((2571,-7673),(-2,-13)),('S',4))
(((2571,-7673),(-2,-17)),('F',19))
(((2533,-7996),(-2,-17)),('F',42))
(((2449,-8710),(-2,-17)),('S',4))
(((2449,-8710),(-2,-21)),('F',91))
(((2267,-10621),(-2,-21)),('R',90))
(((2267,-10621),(-2,21)),('L',180))
(((2267,-10621),(-2,21)),('F',64))
(((2139,-9277),(-2,21)),('L',180))
(((2139,-9277),(-2,21)),('W',4))
(((2139,-9277),(-6,21)),('R',90))
(((2139,-9277),(-6,-21)),('F',32))
(((1947,-9949),(-6,-21)),('N',3))
(((1947,-9949),(-6,-18)),('F',18))
(((1839,-10273),(-6,-18)),('E',2))
(((1839,-10273),(-4,-18)),('L',180))
(((1839,-10273),(-4,-18)),('N',4))
(((1839,-10273),(-4,-14)),('E',2))
(((1839,-10273),(-2,-14)),('N',1))
(((1839,-10273),(-2,-13)),('E',4))
(((1839,-10273),(2,-13)),('N',4))
(((1839,-10273),(2,-9)),('F',54))
(((1947,-10759),(2,-9)),('W',5))
(((1947,-10759),(-3,-9)),('F',50))
(((1797,-11209),(-3,-9)),('N',3))
(((1797,-11209),(-3,-6)),('L',90))
(((1797,-11209),(3,-6)),('N',5))
(((1797,-11209),(3,-1)),('R',90))
(((1797,-11209),(3,1)),('F',100))
(((2097,-11109),(3,1)),('E',4))
(((2097,-11109),(7,1)),('N',1))
(((2097,-11109),(7,2)),('E',3))
(((2097,-11109),(10,2)),('L',90))
(((2097,-11109),(-10,2)),('F',8))
(((2017,-11093),(-10,2)),('L',90))
(((2017,-11093),(10,2)),('E',4))
(((2017,-11093),(14,2)),('L',270))
(((2017,-11093),(-14,2)),('F',95))
(((687,-10903),(-14,2)),('L',90))
(((687,-10903),(14,2)),('F',44))
(((1303,-10815),(14,2)),('E',5))
(((1303,-10815),(19,2)),('R',90))
(((1303,-10815),(19,-2)),('F',79))
(((2804,-10973),(19,-2)),('N',5))
(((2804,-10973),(19,3)),('F',61))
(((3963,-10790),(19,3)),('S',2))
(((3963,-10790),(19,1)),('F',71))
(((5312,-10719),(19,1)),('L',90))
(((5312,-10719),(-19,1)),('F',4))
(((5236,-10715),(-19,1)),('N',3))
(((5236,-10715),(-19,4)),('F',25))
(((4761,-10615),(-19,4)),('L',180))
(((4761,-10615),(-19,4)),('F',7))
(((4628,-10587),(-19,4)),('W',4))
(((4628,-10587),(-23,4)),('F',96))
(((2420,-10203),(-23,4)),('R',90))
(((2420,-10203),(-23,-4)),('S',1))
(((2420,-10203),(-23,-5)),('R',90))
(((2420,-10203),(-23,5)),('W',1))
(((2420,-10203),(-24,5)),('F',9))
(((2204,-10158),(-24,5)),('N',2))
(((2204,-10158),(-24,7)),('W',5))
(((2204,-10158),(-29,7)),('F',1))
(((2175,-10151),(-29,7)),('R',90))
(((2175,-10151),(-29,-7)),('N',2))
(((2175,-10151),(-29,-5)),('F',36))
(((1131,-10331),(-29,-5)),('W',4))
(((1131,-10331),(-33,-5)),('R',90))
(((1131,-10331),(-33,5)),('F',96))
(((-2037,-9851),(-33,5)),('W',2))
(((-2037,-9851),(-35,5)),('F',26))
(((-2947,-9721),(-35,5)),('S',2))
(((-2947,-9721),(-35,3)),('F',28))
(((-3927,-9637),(-35,3)),('E',4))
(((-3927,-9637),(-31,3)),('N',1))
(((-3927,-9637),(-31,4)),('F',33))
(((-4950,-9505),(-31,4)),('N',5))
(((-4950,-9505),(-31,9)),('F',51))
(((-6531,-9046),(-31,9)),('W',2))
(((-6531,-9046),(-33,9)),('S',1))
(((-6531,-9046),(-33,8)),('F',40))
(((-7851,-8726),(-33,8)),('N',3))
(((-7851,-8726),(-33,11)),('F',67))
(((-10062,-7989),(-33,11)),('E',3))
(((-10062,-7989),(-30,11)),('S',2))
(((-10062,-7989),(-30,9)),('R',90))
(((-10062,-7989),(-30,-9)),('W',1))
(((-10062,-7989),(-31,-9)),('S',3))
(((-10062,-7989),(-31,-12)),('E',3))
(((-10062,-7989),(-28,-12)),('L',90))
(((-10062,-7989),(28,-12)),('F',75))
(((-7962,-8889),(28,-12)),('E',3))
(((-7962,-8889),(31,-12)),('N',5))
(((-7962,-8889),(31,-7)),('E',2))
(((-7962,-8889),(33,-7)),('F',52))
(((-6246,-9253),(33,-7)),('E',3))
(((-6246,-9253),(36,-7)),('F',7))
(((-5994,-9302),(36,-7)),('N',4))
(((-5994,-9302),(36,-3)),('F',4))
(((-5850,-9314),(36,-3)),('S',4))
(((-5850,-9314),(36,-7)),('L',90))
(((-5850,-9314),(-36,-7)),('S',2))
(((-5850,-9314),(-36,-9)),('W',5))
(((-5850,-9314),(-41,-9)),('F',85))
(((-9335,-10079),(-41,-9)),('F',7))
(((-9622,-10142),(-41,-9)),('L',180))
(((-9622,-10142),(-41,-9)),('E',1))
(((-9622,-10142),(-40,-9)),('L',90))
(((-9622,-10142),(40,-9)),('E',2))
(((-9622,-10142),(42,-9)),('S',3))
(((-9622,-10142),(42,-12)),('R',180))
(((-9622,-10142),(42,-12)),('N',3))
(((-9622,-10142),(42,-9)),('E',2))
(((-9622,-10142),(44,-9)),('R',90))
(((-9622,-10142),(44,9)),('N',5))
(((-9622,-10142),(44,14)),('F',6))
(((-9358,-10058),(44,14)),('N',2))
(((-9358,-10058),(44,16)),('L',90))
(((-9358,-10058),(-44,16)),('W',1))
(((-9358,-10058),(-45,16)),('R',90))
(((-9358,-10058),(-45,-16)),('R',90))
(((-9358,-10058),(-45,16)),('F',91))
(((-13453,-8602),(-45,16)),('E',2))
(((-13453,-8602),(-43,16)),('N',4))
(((-13453,-8602),(-43,20)),('R',90))
(((-13453,-8602),(-43,-20)),('S',2))
(((-13453,-8602),(-43,-22)),('E',3))
(((-13453,-8602),(-40,-22)),('S',3))
(((-13453,-8602),(-40,-25)),('L',90))
(((-13453,-8602),(40,-25)),('W',3))
(((-13453,-8602),(37,-25)),('F',61))
(((-11196,-10127),(37,-25)),('S',1))
(((-11196,-10127),(37,-26)),('L',90))
(((-11196,-10127),(-37,-26)),('W',3))
(((-11196,-10127),(-40,-26)),('N',2))
(((-11196,-10127),(-40,-24)),('E',1))
(((-11196,-10127),(-39,-24)),('R',180))
(((-11196,-10127),(-39,-24)),('E',2))
(((-11196,-10127),(-37,-24)),('W',5))
(((-11196,-10127),(-42,-24)),('R',90))
(((-11196,-10127),(-42,24)),('F',65))
(((-13926,-8567),(-42,24)),('N',4))
(((-13926,-8567),(-42,28)),('W',3))
(((-13926,-8567),(-45,28)),('F',54))
(((-16356,-7055),(-45,28)),('E',1))
(((-16356,-7055),(-44,28)),('N',3))
(((-16356,-7055),(-44,31)),('E',5))
(((-16356,-7055),(-39,31)),('L',180))
(((-16356,-7055),(-39,31)),('S',4))
(((-16356,-7055),(-39,27)),('N',3))
(((-16356,-7055),(-39,30)),('E',5))
(((-16356,-7055),(-34,30)),('R',90))
(((-16356,-7055),(-34,-30)),('S',3))
(((-16356,-7055),(-34,-33)),('R',90))
(((-16356,-7055),(-34,33)),('S',4))
(((-16356,-7055),(-34,29)),('W',4))
(((-16356,-7055),(-38,29)),('F',31))
(((-17534,-6156),(-38,29)),('S',5))
(((-17534,-6156),(-38,24)),('R',90))
(((-17534,-6156),(-38,-24)),('N',2))
(((-17534,-6156),(-38,-22)),('E',3))
(((-17534,-6156),(-35,-22)),('F',49))
(((-19249,-7234),(-35,-22)),('F',47))
(((-20894,-8268),(-35,-22)),('W',3))
(((-20894,-8268),(-38,-22)),('F',79))
(((-23896,-10006),(-38,-22)),('R',270))
(((-23896,-10006),(-38,22)),('W',2))
(((-23896,-10006),(-40,22)),('F',90))
(((-27496,-8026),(-40,22)),('S',3))
(((-27496,-8026),(-40,19)),('F',73))
(((-30416,-6639),(-40,19)),('L',180))
(((-30416,-6639),(-40,19)),('F',14))
(((-30976,-6373),(-40,19)),('W',4))
(((-30976,-6373),(-44,19)),('F',27))
(((-32164,-5860),(-44,19)),('R',90))
(((-32164,-5860),(-44,-19)),('F',75))
(((-35464,-7285),(-44,-19)),('L',90))
(((-35464,-7285),(44,-19)),('N',5))
(((-35464,-7285),(44,-14)),('R',90))
(((-35464,-7285),(44,14)),('N',4))
(((-35464,-7285),(44,18)),('L',90))
(((-35464,-7285),(-44,18)),('N',4))
(((-35464,-7285),(-44,22)),('E',2))
(((-35464,-7285),(-42,22)),('S',1))
(((-35464,-7285),(-42,21)),('W',1))
(((-35464,-7285),(-43,21)),('S',4))
(((-35464,-7285),(-43,17)),('W',5))
(((-35464,-7285),(-48,17)),('W',1))
(((-35464,-7285),(-49,17)),('F',7))
(((-35807,-7166),(-49,17)),('W',5))
(((-35807,-7166),(-54,17)),('L',180))
(((-35807,-7166),(-54,17)),('E',1))
(((-35807,-7166),(-53,17)),('S',1))
(((-35807,-7166),(-53,16)),('F',82))
(((-40153,-5854),(-53,16)),('F',36))
(((-42061,-5278),(-53,16)),('N',2))
(((-42061,-5278),(-53,18)),('L',90))
(((-42061,-5278),(53,18)),('E',1))
(((-42061,-5278),(54,18)),('L',90))
(((-42061,-5278),(-54,18)),('S',4))
(((-42061,-5278),(-54,14)),('L',180))
(((-42061,-5278),(-54,14)),('N',2))
(((-42061,-5278),(-54,16)),('W',3))
(((-42061,-5278),(-57,16)),('F',21))
(((-43258,-4942),(-57,16)),('R',270))
(((-43258,-4942),(-57,-16)),('F',18))
(((-44284,-5230),(-57,-16)),('R',180))
(((-44284,-5230),(-57,-16)),('F',93))
(((-49585,-6718),(-57,-16)),('L',90))
(((-49585,-6718),(57,-16)),('W',2))
(((-49585,-6718),(55,-16)),('F',4))
(((-49365,-6782),(55,-16)),('E',1))
(((-49365,-6782),(56,-16)),('R',90))
(((-49365,-6782),(56,16)),('E',2))
(((-49365,-6782),(58,16)),('S',3))
(((-49365,-6782),(58,13)),('W',4))
(((-49365,-6782),(54,13)),('F',30))
(((-47745,-6392),(54,13)),('E',1))
(((-47745,-6392),(55,13)),('F',69))
(((-43950,-5495),(55,13)),('W',5))
(((-43950,-5495),(50,13)),('R',90))
(((-43950,-5495),(50,-13)),('E',2))
(((-43950,-5495),(52,-13)),('L',180))
(((-43950,-5495),(52,-13)),('S',4))
(((-43950,-5495),(52,-17)),('W',1))
(((-43950,-5495),(51,-17)),('N',1))
(((-43950,-5495),(51,-16)),('E',3))
(((-43950,-5495),(54,-16)),('L',90))
(((-43950,-5495),(-54,-16)),('E',3))
(((-43950,-5495),(-51,-16)),('R',90))
(((-43950,-5495),(-51,16)),('F',69))
(((-47469,-4391),(-51,16)),('R',90))
(((-47469,-4391),(-51,-16)),('S',2))
(((-47469,-4391),(-51,-18)),('L',90))
(((-47469,-4391),(51,-18)),('N',4))
(((-47469,-4391),(51,-14)),('F',13))
(((-46806,-4573),(51,-14)),('L',90))
(((-46806,-4573),(-51,-14)),('E',2))
(((-46806,-4573),(-49,-14)),('L',90))
(((-46806,-4573),(49,-14)),('N',2))
(((-46806,-4573),(49,-12)),('W',2))
(((-46806,-4573),(47,-12)),('N',5))
(((-46806,-4573),(47,-7)),('S',4))
(((-46806,-4573),(47,-11)),('F',70))
(((-43516,-5343),(47,-11)),('R',90))
(((-43516,-5343),(47,11)),('F',67))
(((-40367,-4606),(47,11)),('E',4))
(((-40367,-4606),(51,11)),('F',62))
(((-37205,-3924),(51,11)),('L',270))
(((-37205,-3924),(-51,11)),('F',98))
(((-42203,-2846),(-51,11)),('L',90))
(((-42203,-2846),(51,11)),('E',5))
(((-42203,-2846),(56,11)),('F',15))
(((-41363,-2681),(56,11)),('E',5))
(((-41363,-2681),(61,11)),('R',90))
(((-41363,-2681),(61,-11)),('W',3))
(((-41363,-2681),(58,-11)),('E',2))
(((-41363,-2681),(60,-11)),('F',25))
(((-39863,-2956),(60,-11)),('R',180))
(((-39863,-2956),(60,-11)),('F',7))
(((-39443,-3033),(60,-11)),('L',180))
(((-39443,-3033),(60,-11)),('W',4))
(((-39443,-3033),(56,-11)),('S',3))
(((-39443,-3033),(56,-14)),('F',42))
(((-37091,-3621),(56,-14)),('R',180))
(((-37091,-3621),(56,-14)),('R',270))
(((-37091,-3621),(56,14)),('N',1))
(((-37091,-3621),(56,15)),('R',180))
(((-37091,-3621),(56,15)),('S',2))
(((-37091,-3621),(56,13)),('F',37))
(((-35019,-3140),(56,13)),('E',2))
(((-35019,-3140),(58,13)),('F',72))
(((-30843,-2204),(58,13)),('N',5))
(((-30843,-2204),(58,18)),('W',5))
(((-30843,-2204),(53,18)),('F',61))
(((-27610,-1106),(53,18)),('F',43))
(((-25331,-332),(53,18)),('W',3))
(((-25331,-332),(50,18)),('R',90))
(((-25331,-332),(50,-18)),('R',270))
(((-25331,-332),(50,18)),('N',5))
(((-25331,-332),(50,23)),('R',270))
(((-25331,-332),(50,-23)),('E',4))
(((-25331,-332),(54,-23)),('L',90))
(((-25331,-332),(-54,-23)),('W',4))
(((-25331,-332),(-58,-23)),('F',31))
(((-27129,-1045),(-58,-23)),('F',43))
(((-29623,-2034),(-58,-23)),('L',180))
